; Column layout:
; SIZE  =IPv4= <IPv4 protocols> =IPv6= <native IPv6 protocols> =IPv6t= <tunneled IPv6 protocols>
; First column (SIZE) is packet size in bytes
; Column =IPv4= is total number of IPv4 packets for each packet size
; Subsequent columns (upto =IPv6= or =IPv6t= or end of line, whichever
; comes first) give the number of IPv4 packets for the indicated protocol
; Column =IPv6= is total number of native IPv6 packets for each packet size
; Subsequent columns (upto =IPv6t= or end of line) give the number of IPv6
; packets for the indicated protocol
; Column =IPv6t= is total number of tunneled IPv4-over-IPv6 packets
; Subsequent columns give the number of tunneled IPv6 packets for the
; the indicated protocol
;
; First timestamp: 1459947552.407658674
; Last timestamp: 1459951362.403493777
; Total number of packets: 1811152408
; Total number of IPv4 packets: 1755133537
; Total number of native IPv6 packets: 56018871
; Total number of tunneled IPv6 packets: 1523
; IPv6 native fragments: 261
;
SIZE     =IPv4=       SCTP       IPv6        ESP        UDP        GRE       ICMP        TCP    UNKNOWN     =IPv6=      ICMP6        UDP        TCP    =IPv6t=      ICMP6        UDP        TCP
        226     267930          0          1          0     115048         11        120     152750          0       2417          0         51       2366          1          0          0          1
        227     424471          0          1          0     102562          5         70     321833          0        986          0         41        945          0          0          0          0
        228     456215          0          0          0     106846     203249        749     145361         10       1446          0         54       1392          0          0          0          0
        229     204810          0          0          0      87951          5        243     116611          0       2867          3         40       2824          1          0          0          1
        230     187681          0          0          0      77834          7         74     109766          0       2738          0         41       2697          1          0          0          1
        231     245306          0          1          0      71314          5         16     173970          0       1799          0         24       1775          0          0          0          0
        232     229419          0          1      21148      70058          3         20     138189          0        980          0         52        928          0          0          0          0
        233     419012          0          1          0     121410          3         39     297559          0      23059          1         63      22995          0          0          0          0
        234     309618          0          0          0      58454          4         91     251069          0       4971          0         29       4942          1          0          0          1
        235     185929          0          1          0      44452          2         44     141430          0       1494          0         30       1464          0          0          0          0
        236     324577          0          0        100      56469          1        125     267880          2        843          0         51        792          0          0          0          0
        237     263320          0          0          0      43991          7         86     219236          0       4528          0         37       4491          0          0          0          0
        238     223761          0          0          0      42735         10       7311     173705          0       3447          0        109       3338          0          0          0          0
        239     287719          0          0          0      43509          0         31     244179          0       1530          1         43       1486          1          0          0          1
        240     557111          0          0       2979     130295          1         29     423805          2       2205          4         82       2119          1          0          0          1
        241     260019          0          0          0     121050          3         30     138936          0       5975          0         45       5930          1          0          0          1
        242     210285          0          1          0      46241        242        110     163691          0       2913          6         54       2853          1          0          0          1
        243     378833          0          0          0      38291          2         22     340518          0       1325          1         54       1270          1          0          0          1
        244     198214          0          0          0      47663         27         12     150508          4       1601          0         61       1540          0          0          0          0
        245     190769          0          0          0      58295          1         20     132453          0       3959          0         50       3909          0          0          0          0
        246     247273          0          1          0      37023          6         29     210214          0       3066          0         22       3044          0          0          0          0
